2022-09-25 14:05:08,406 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event KeywordQueryEvent to "com.github.ulauncher.ulauncher-emoji"
2022-09-25 14:05:08,484 | DEBUG | ulauncher.api.server.ExtensionController: handleMessage() | Incoming response (KeywordQueryEvent, RenderResultListAction) from "com.github.ulauncher.ulauncher-emoji"
2022-09-25 14:05:08,521 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 8 results
2022-09-25 14:05:09,481 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-09-25 18:59:36,169 | INFO | ulauncher.search.apps.app_watcher: _remove_file() | App was removed (/usr/share/applications/org.gnome.Evince.desktop)
2022-09-25 18:59:36,170 | INFO | ulauncher.search.apps.app_watcher: _remove_file() | App was removed (/usr/share/applications/org.gnome.Evince-previewer.desktop)
2022-09-25 18:59:41,996 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /usr/share/applications/org.gnome.Evince-previewer.desktop to DB -> /usr/share/applications/org.gnome.Evince-previewer.desktop
2022-09-25 18:59:41,997 | INFO | ulauncher.search.apps.app_watcher: _add_file_sync() | New app was added "Document Viewer" (/usr/share/applications/org.gnome.Evince.desktop)
2022-09-25 18:59:44,002 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /usr/share/applications/org.gnome.Evince-previewer.desktop to DB -> /usr/share/applications/org.gnome.Evince-previewer.desktop
2022-09-25 18:59:46,007 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /usr/share/applications/org.gnome.Evince-previewer.desktop to DB -> /usr/share/applications/org.gnome.Evince-previewer.desktop
2022-09-25 18:59:48,012 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /usr/share/applications/org.gnome.Evince-previewer.desktop to DB -> /usr/share/applications/org.gnome.Evince-previewer.desktop
2022-09-25 18:59:50,017 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /usr/share/applications/org.gnome.Evince-previewer.desktop to DB -> /usr/share/applications/org.gnome.Evince-previewer.desktop
2022-09-25 18:59:52,022 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /usr/share/applications/org.gnome.Evince-previewer.desktop to DB -> /usr/share/applications/org.gnome.Evince-previewer.desktop
2022-09-25 18:59:54,024 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /usr/share/applications/org.gnome.Evince-previewer.desktop to DB -> /usr/share/applications/org.gnome.Evince-previewer.desktop
2022-09-25 18:59:56,029 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /usr/share/applications/org.gnome.Evince-previewer.desktop to DB -> /usr/share/applications/org.gnome.Evince-previewer.desktop
2022-09-25 18:59:58,031 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /usr/share/applications/org.gnome.Evince-previewer.desktop to DB -> /usr/share/applications/org.gnome.Evince-previewer.desktop
2022-09-25 19:00:00,034 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /usr/share/applications/org.gnome.Evince-previewer.desktop to DB -> /usr/share/applications/org.gnome.Evince-previewer.desktop
2022-09-25 19:00:02,038 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /usr/share/applications/org.gnome.Evince-previewer.desktop to DB -> /usr/share/applications/org.gnome.Evince-previewer.desktop
2022-09-25 19:00:04,043 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /usr/share/applications/org.gnome.Evince-previewer.desktop to DB -> /usr/share/applications/org.gnome.Evince-previewer.desktop
2022-09-25 19:00:06,049 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /usr/share/applications/org.gnome.Evince-previewer.desktop to DB -> /usr/share/applications/org.gnome.Evince-previewer.desktop
2022-09-25 19:00:08,053 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /usr/share/applications/org.gnome.Evince-previewer.desktop to DB -> /usr/share/applications/org.gnome.Evince-previewer.desktop
2022-09-25 19:00:18,163 | INFO | ulauncher.search.apps.app_watcher: _remove_file() | App was removed (/usr/share/applications/info.febvre.Komikku.desktop)
